method,plant_id,actual,rater,estimate,order_id
Version_1,1,9,1,10,12
Version_1,2,8,1,5,9
Version_1,3,9,1,0,13
Version_1,4,17,1,30,26
Version_1,5,12,1,20,18
Version_1,6,44,1,40,42
Version_1,7,23,1,50,34
Version_1,8,13,1,20,20
Version_1,9,14,1,5,23
Version_1,10,28,1,10,35
Version_1,11,42,1,25,41
Version_1,12,9,1,5,14
Version_1,13,7,1,5,6
Version_1,14,10,1,10,16
Version_1,15,33,1,30,36
Version_1,16,100,1,100,50
Version_1,17,100,1,100,51
Version_1,18,100,1,100,52
Version_1,19,100,1,100,53
Version_1,20,100,1,100,54
Version_1,21,100,1,90,55
Version_1,22,100,1,95,56
Version_1,23,100,1,95,57
Version_1,24,100,1,95,58
Version_1,25,100,1,100,59
Version_1,26,13,1,15,21
Version_1,27,14,1,5,24
Version_1,28,12,1,5,19
Version_1,29,9,1,0,15
Version_1,30,16,1,20,25
Version_1,31,33,1,50,37
Version_1,32,22,1,40,33
Version_1,33,100,1,90,60
Version_1,34,11,1,15,17
Version_1,35,88,1,75,47
Version_1,36,100,1,100,61
Version_1,37,50,1,65,43
Version_1,38,100,1,100,62
Version_1,39,8,1,15,10
Version_1,40,37,1,45,39
Version_1,41,17,1,30,27
Version_1,42,4,1,0,2
Version_1,43,8,1,15,11
Version_1,44,34,1,75,38
Version_1,45,77,1,80,45
Version_1,46,77,1,85,46
Version_1,47,100,1,95,63
Version_1,48,100,1,100,64
Version_1,49,100,1,100,65
Version_1,50,100,1,100,66
Version_1,51,7,1,5,7
Version_1,52,7,1,0,8
Version_1,53,4,1,5,3
Version_1,54,17,1,35,28
Version_1,55,100,1,95,67
Version_1,56,97,1,90,48
Version_1,57,17,1,15,29
Version_1,58,100,1,100,68
Version_1,59,100,1,100,69
Version_1,60,3,1,0,1
Version_1,61,6,1,10,5
Version_1,62,20,1,20,31
Version_1,63,13,1,15,22
Version_1,64,19,1,30,30
Version_1,65,100,1,100,70
Version_1,66,100,1,100,71
Version_1,67,100,1,100,72
Version_1,68,100,1,95,73
Version_1,69,100,1,95,74
Version_1,70,100,1,100,75
Version_1,71,56,1,60,44
Version_1,72,20,1,35,32
Version_1,73,97,1,80,49
Version_1,74,5,1,10,4
Version_1,75,39,1,40,40
Version_1,1,9,2,4,12
Version_1,2,8,2,3,9
Version_1,3,9,2,0,13
Version_1,4,17,2,15,26
Version_1,5,12,2,12,18
Version_1,6,44,2,6,42
Version_1,7,23,2,8,34
Version_1,8,13,2,7,20
Version_1,9,14,2,3,23
Version_1,10,28,2,1,35
Version_1,11,42,2,10,41
Version_1,12,9,2,8,14
Version_1,13,7,2,9,6
Version_1,14,10,2,4,16
Version_1,15,33,2,18,36
Version_1,16,100,2,100,50
Version_1,17,100,2,100,51
Version_1,18,100,2,100,52
Version_1,19,100,2,100,53
Version_1,20,100,2,100,54
Version_1,21,100,2,100,55
Version_1,22,100,2,100,56
Version_1,23,100,2,100,57
Version_1,24,100,2,100,58
Version_1,25,100,2,100,59
Version_1,26,13,2,9,21
Version_1,27,14,2,2,24
Version_1,28,12,2,2,19
Version_1,29,9,2,0,15
Version_1,30,16,2,8,25
Version_1,31,33,2,75,37
Version_1,32,22,2,30,33
Version_1,33,100,2,93,60
Version_1,34,11,2,28,17
Version_1,35,88,2,86,47
Version_1,36,100,2,100,61
Version_1,37,50,2,83,43
Version_1,38,100,2,100,62
Version_1,39,8,2,14,10
Version_1,40,37,2,50,39
Version_1,41,17,2,30,27
Version_1,42,4,2,0,2
Version_1,43,8,2,4,11
Version_1,44,34,2,36,38
Version_1,45,77,2,78,45
Version_1,46,77,2,82,46
Version_1,47,100,2,97,63
Version_1,48,100,2,100,64
Version_1,49,100,2,100,65
Version_1,50,100,2,100,66
Version_1,51,7,2,2,7
Version_1,52,7,2,2,8
Version_1,53,4,2,2,3
Version_1,54,17,2,40,28
Version_1,55,100,2,100,67
Version_1,56,97,2,100,48
Version_1,57,17,2,39,29
Version_1,58,100,2,100,68
Version_1,59,100,2,90,69
Version_1,60,3,2,3,1
Version_1,61,6,2,2,5
Version_1,62,20,2,16,31
Version_1,63,13,2,9,22
Version_1,64,19,2,17,30
Version_1,65,100,2,100,70
Version_1,66,100,2,100,71
Version_1,67,100,2,100,72
Version_1,68,100,2,100,73
Version_1,69,100,2,100,74
Version_1,70,100,2,100,75
Version_1,71,56,2,70,44
Version_1,72,20,2,60,32
Version_1,73,97,2,94,49
Version_1,74,5,2,1,4
Version_1,75,39,2,36,40
Version_1,1,9,3,0,12
Version_1,2,8,3,10,9
Version_1,3,9,3,0,13
Version_1,4,17,3,10,26
Version_1,5,12,3,10,18
Version_1,6,44,3,10,42
Version_1,7,23,3,10,34
Version_1,8,13,3,10,20
Version_1,9,14,3,0,23
Version_1,10,28,3,0,35
Version_1,11,42,3,10,41
Version_1,12,9,3,0,14
Version_1,13,7,3,0,6
Version_1,14,10,3,10,16
Version_1,15,33,3,20,36
Version_1,16,100,3,100,50
Version_1,17,100,3,100,51
Version_1,18,100,3,100,52
Version_1,19,100,3,90,53
Version_1,20,100,3,100,54
Version_1,21,100,3,100,55
Version_1,22,100,3,100,56
Version_1,23,100,3,100,57
Version_1,24,100,3,100,58
Version_1,25,100,3,100,59
Version_1,26,13,3,10,21
Version_1,27,14,3,0,24
Version_1,28,12,3,0,19
Version_1,29,9,3,0,15
Version_1,30,16,3,10,25
Version_1,31,33,3,60,37
Version_1,32,22,3,10,33
Version_1,33,100,3,100,60
Version_1,34,11,3,10,17
Version_1,35,88,3,80,47
Version_1,36,100,3,100,61
Version_1,37,50,3,60,43
Version_1,38,100,3,100,62
Version_1,39,8,3,10,10
Version_1,40,37,3,20,39
Version_1,41,17,3,10,27
Version_1,42,4,3,0,2
Version_1,43,8,3,0,11
Version_1,44,34,3,20,38
Version_1,45,77,3,70,45
Version_1,46,77,3,70,46
Version_1,47,100,3,100,63
Version_1,48,100,3,100,64
Version_1,49,100,3,100,65
Version_1,50,100,3,100,66
Version_1,51,7,3,0,7
Version_1,52,7,3,0,8
Version_1,53,4,3,0,3
Version_1,54,17,3,10,28
Version_1,55,100,3,100,67
Version_1,56,97,3,90,48
Version_1,57,17,3,50,29
Version_1,58,100,3,100,68
Version_1,59,100,3,90,69
Version_1,61,6,3,0,5
Version_1,62,20,3,10,31
Version_1,63,13,3,10,22
Version_1,64,19,3,10,30
Version_1,65,100,3,100,70
Version_1,66,100,3,100,71
Version_1,67,100,3,100,72
Version_1,68,100,3,100,73
Version_1,69,100,3,100,74
Version_1,70,100,3,100,75
Version_1,71,56,3,30,44
Version_1,72,20,3,10,32
Version_1,73,97,3,90,49
Version_1,74,5,3,0,4
Version_1,75,39,3,30,40
Version_1,1,9,4,10,12
Version_1,2,8,4,5,9
Version_1,3,9,4,0,13
Version_1,4,17,4,35,26
Version_1,5,12,4,30,18
Version_1,6,44,4,35,42
